Link,SIC Code,Description,Assessments,Recommendations,Recommended $ Savings
https://iac.university/indexSic/349,349,Misc. Fabricated Metal Products,638,"5,003","$61,302,279"
https://iac.university/indexSic/351,351,Engines And Turbines,61,482,"$7,087,626"
https://iac.university/indexSic/352,352,Farm And Garden Machinery,113,853,"$7,535,601"
https://iac.university/indexSic/353,353,Construction And Related Machinery,355,"2,717","$31,405,033"
https://iac.university/indexSic/354,354,Metalworking Machinery,273,"1,899","$18,060,570"
https://iac.university/indexSic/355,355,Special Industry Machinery,205,"1,497","$10,398,619"
https://iac.university/indexSic/356,356,General Industrial Machinery,424,"3,238","$33,251,109"
https://iac.university/indexSic/357,357,Computer And Office Equipment,61,426,"$5,349,143"
https://iac.university/indexSic/358,358,Refrigeration And Service Machinery,215,"1,610","$17,801,821"
https://iac.university/indexSic/359,359,"Industrial Machinery, Nec",300,"2,103","$22,233,681"
https://iac.university/indexSic/361,361,Electric Distribution Equipment,93,707,"$7,446,686"
https://iac.university/indexSic/362,362,Electrical Industrial Apparatus,168,"1,272","$19,051,679"
https://iac.university/indexSic/363,363,Household Appliances,54,403,"$6,863,442"
https://iac.university/indexSic/364,364,Electric Lighting And Wiring Equipment,170,"1,229","$14,266,941"
https://iac.university/indexSic/365,365,Household Audio And Video Equipment,27,184,"$2,943,295"
https://iac.university/indexSic/366,366,Communications Equipment,62,436,"$3,569,854"
https://iac.university/indexSic/367,367,Electronic Components And Accessories,414,"3,066","$54,815,871"
https://iac.university/indexSic/369,369,Misc. Electrical Equipment & Supplies,129,965,"$18,827,377"
https://iac.university/indexSic/371,371,Motor Vehicles And Equipment,653,"5,182","$94,961,041"
https://iac.university/indexSic/372,372,Aircraft And Parts,320,"2,339","$32,380,681"
https://iac.university/indexSic/373,373,Ship And Boat Building And Repairing,104,767,"$10,691,759"
https://iac.university/indexSic/374,374,Railroad Equipment,32,260,"$3,339,198"
https://iac.university/indexSic/375,375,"Motorcycles, Bicycles, And Parts",9,61,"$533,482"
https://iac.university/indexSic/376,376,"Guided Missiles, Space Vehicles, Parts",19,139,"$4,847,181"
https://iac.university/indexSic/379,379,Miscellaneous Transportation Equipment,47,354,"$13,945,411"
https://iac.university/indexSic/381,381,Search And Navigation Equipment,27,181,"$4,028,590"
https://iac.university/indexSic/382,382,Measuring And Controlling Devices,231,"1,656","$20,248,481"
https://iac.university/indexSic/384,384,Medical Instruments And Supplies,239,"1,738","$27,287,965"
https://iac.university/indexSic/385,385,Ophthalmic Goods,17,169,"$2,321,375"
https://iac.university/indexSic/386,386,Photographic Equipment And Supplies,22,159,"$1,918,329"
https://iac.university/indexSic/387,387,"Watches, Clocks, Watchcases & Parts",5,35,"$287,184"
https://iac.university/indexSic/391,391,"Jewelry, Silverware, And Plated Ware",9,65,"$478,113"
https://iac.university/indexSic/393,393,Musical Instruments,17,112,"$975,537"
https://iac.university/indexSic/394,394,Toys And Sporting Goods,85,626,"$6,748,176"
https://iac.university/indexSic/395,395,"Pens, Pencils, Office, & Art Supplies",30,226,"$3,203,873"
https://iac.university/indexSic/396,396,Costume Jewelry And Notions,10,82,"$1,977,984"
https://iac.university/indexSic/399,399,Miscellaneous Manufactures,185,"1,386","$20,499,711"
,2011,Meat Packing Plants,97,765,"$9,092,716"
,2013,Sausages And Other Prepared Meats,180,"1,399","$19,963,025"
,2015,Poultry Slaughtering And Processing,88,710,"$16,670,042"
,2021,Creamery Butter,7,71,"$1,039,442"
,2022,"Cheese, Natural And Processed",64,490,"$11,772,999"
,2023,"Dry, Condensed, Evaporated  Products",35,266,"$4,009,565"
,2024,Ice Cream And Frozen Desserts,63,497,"$9,470,256"
,2026,Fluid Milk,169,"1,338","$24,710,073"
,2032,Canned Specialties,32,268,"$7,190,508"
,2033,Canned Fruits And Vegetables,106,897,"$19,768,990"
,2034,"Dehydrated Fruits, Vegetables, Soups",21,171,"$4,576,210"
,2035,"Pickles, Sauces, And Salad Dressings",57,421,"$6,763,704"
,2037,Frozen Fruits And Vegetables,85,645,"$14,993,375"
,2038,"Frozen Specialties, Nec",50,419,"$11,682,022"
,2041,Flour And Other Grain Mill Products,44,331,"$9,676,438"
,2043,Cereal Breakfast Foods,16,144,"$2,678,567"
,2044,Rice Milling,24,183,"$2,886,811"
,2045,Prepared Flour Mixes And Doughs,21,172,"$1,505,022"
,2046,Wet Corn Milling,5,36,"$269,729"
,2047,Dog And Cat Food,39,297,"$5,738,150"
,2048,"Prepared Feeds, Nec",120,862,"$5,907,458"
,2051,"Bread, Cake, And Related Products",244,"1,817","$25,907,913"
,2052,Cookies And Crackers,45,359,"$6,717,218"
,2053,"Frozen Bakery Products, Except Bread",20,174,"$4,070,989"
,2061,Raw Cane Sugar,7,47,"$359,639"
,2062,Cane Sugar Refining,7,63,"$3,225,018"
,2063,Beet Sugar,5,31,"$981,976"
,2064,Candy & Other Confectionery Products,67,498,"$7,106,094"
,2066,Chocolate And Cocoa Products,17,148,"$2,866,578"
,2067,Chewing Gum,2,19,"$286,597"
,2068,Salted And Roasted Nuts And Seeds,21,167,"$2,933,710"
,2074,Cottonseed Oil Mills,6,39,"$993,448"
,2075,Soybean Oil Mills,6,40,"$7,830,363"
,2076,"Vegetable Oil Mills, Nec",3,19,"$230,504"
,2077,Animal And Marine Fats And Oils,15,98,"$3,984,600"
,2079,"Edible Fats And Oils, Nec",22,181,"$6,617,388"
,2082,Malt Beverages,83,547,"$13,061,505"
,2083,Malt,9,57,"$2,316,162"
,2084,"Wines, Brandy, And Brandy Spirits",61,434,"$6,525,266"
,2085,Distilled And Blended Liquors,24,176,"$7,976,948"
,2086,Bottled And Canned Soft Drinks,209,"1,671","$32,407,870"
,2087,"Flavoring Extracts And Syrups, Nec",32,270,"$4,399,753"
,2091,Canned And Cured Fish And Seafoods,16,135,"$3,204,559"
,2092,Fresh Or Frozen Prepared Fish,70,468,"$9,414,829"
,2095,Roasted Coffee,27,186,"$1,583,166"
,2096,Potato Chips And Similar Snacks,61,451,"$6,441,721"
,2097,Manufactured Ice,12,64,"$1,625,753"
,2098,Macaroni And Spaghetti,13,113,"$1,279,058"
,2099,"Food Preparations, Nec",194,"1,400","$26,244,835"
,2111,Cigarettes,4,46,"$3,175,881"
,2121,Cigars,1,5,"$252,900"
,2131,Chewing And Smoking Tobacco,5,40,"$718,704"
,2141,Tobacco Stemming And Redrying,4,38,"$541,277"
,2211,"Broadwoven Fabric Mills, Cotton",46,340,"$5,762,939"
,2221,"Broadwoven Fabric Mills, Manmade",34,256,"$4,313,847"
,2231,"Broadwoven Fabric Mills, Wool",28,208,"$3,340,453"
,2241,Narrow Fabric Mills,19,143,"$1,342,411"
,2251,"Women's Full-Length and Knee-Length Hosiery, Except Socks",11,73,"$664,405"
,2252,"Hosiery, Nec",29,206,"$1,153,508"
,2253,Knit Outerwear Mills,11,79,"$1,355,400"
,2254,Knit Underwear Mills,5,41,"$1,386,047"
,2257,Weft Knit Fabric Mills,2,15,"$160,379"
,2258,Lace & Warp Knit Fabric Mills,13,80,"$2,156,873"
,2259,"Knitting Mills, Nec",4,28,"$653,606"
,2261,"Finishing Plants, Cotton",26,171,"$3,832,805"
,2262,"Finishing Plants, Manmade",7,59,"$836,978"
,2269,"Finishing Plants, Nec",29,226,"$3,100,835"
,2273,Carpets And Rugs,82,635,"$17,553,651"
,2281,Yarn Spinning Mills,68,472,"$7,695,004"
,2282,Throwing And Winding Mills,16,94,"$958,197"
,2284,Thread Mills,11,69,"$784,732"
,2295,"Coated Fabrics, Not Rubberized",31,260,"$4,676,983"
,2296,Tire Cord And Fabrics,3,28,"$1,301,033"
,2297,Nonwoven Fabrics,19,120,"$2,535,877"
,2298,Cordage And Twine,13,99,"$1,202,109"
,2299,"Textile Goods, Nec",50,346,"$8,552,899"
,2311,"Men's and Boys' Suits, Coats, and Overcoats",19,126,"$617,039"
,2321,"Men's and Boys' Shirts, Except Work Shirts",17,106,"$409,158"
,2322,Men's and Boys' Underwear and Nightwear,6,37,"$208,080"
,2323,Men's and Boys' Neckwear,-,-,-
,2325,Men's and Boys' Separate Trousers and Slacks,37,271,"$1,140,493"
,2326,Men's and Boys' Work Clothing,26,188,"$1,496,984"
,2329,"Men's and Boys' Clothing, Not Elsewhere Classified",25,165,"$1,242,412"
,2331,"Women's, Misses', and Juniors' Blouses and Shirts",3,16,"$76,278"
,2335,"Women's, Misses', and Juniors' Dresses",4,35,"$93,970"
,2337,"Women's, Misses', and Juniors' Suits, Skirts, and Coats",5,27,"$63,116"
,2339,"Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified",16,108,"$267,251"
,2341,"Women's, Misses', Children's, and Infants' Underwear and Nightwear",14,86,"$382,035"
,2342,"Bras, Girdles, And Allied Garments",1,5,"$23,630"
,2353,"Hats, Caps, And Millinery",8,70,"$200,708"
,2361,"Girls', Children's, and Infants' Dresses, Blouses, and Shirts",10,63,"$152,291"
,2369,"Girls', Children's, and Infants' Outerwear, Not Elsewhere Classified",4,25,"$246,078"
,2371,Fur Goods,-,-,-
,2381,Fabric Dress And Work Gloves,5,32,"$149,996"
,2384,Robes And Dressing Gowns,1,9,"$164,417"
,2385,Waterproof Outerwear,2,10,"$120,261"
,2386,Leather And Sheep-lined Clothing,1,5,"$10,124"
,2387,Apparel Belts,3,17,"$145,467"
,2389,"Apparel And Accessories, Nec",18,117,"$590,747"
,2391,Curtains And Draperies,8,47,"$195,107"
,2392,"Housefurnishings, Nec",32,244,"$1,362,097"
,2393,Textile Bags,7,60,"$571,041"
,2394,Canvas And Related Products,11,68,"$858,921"
,2395,Pleating And Stitching,9,74,"$398,651"
,2396,Automotive And Apparel Trimmings,24,167,"$2,220,541"
,2397,Schiffli Machine Embroideries,2,11,"$22,794"
,2399,"Fabricated Textile Products, Nec",24,149,"$4,971,236"
,2411,Logging,-,-,-
,2421,"Sawmills And Planing Mills, General",271,"1,856","$70,826,410"
,2426,Hardwood Dimension & Flooring Mills,62,504,"$8,360,334"
,2429,"Special Product Sawmills, Nec",1,6,"$88,560"
,2431,Millwork,158,"1,150","$14,326,957"
,2434,Wood Kitchen Cabinets,58,421,"$4,220,615"
,2435,Hardwood Veneer And Plywood,56,374,"$9,067,520"
,2436,Softwood Veneer And Plywood,53,345,"$18,244,211"
,2439,"Structural Wood Members, Nec",29,165,"$1,693,814"
,2441,Nailed Wood Boxes And Shook,4,22,"$134,370"
,2448,Wood Pallets And Skids,23,165,"$1,749,625"
,2449,"Wood Containers, Nec",10,69,"$592,987"
,2451,Mobile Homes,46,316,"$8,250,436"
,2452,Prefabricated Wood Buildings,29,182,"$1,716,333"
,2491,Wood Preserving,48,359,"$3,180,969"
,2493,Reconstituted Wood Products,55,393,"$19,083,018"
,2499,"Wood Products, Nec",85,622,"$10,203,315"
,2511,Wood Household Furniture,88,650,"$8,755,164"
,2512,Upholstered Household Furniture,67,454,"$3,532,142"
,2514,Metal Household Furniture,20,155,"$3,437,972"
,2515,Mattresses And Bedsprings,36,248,"$3,358,685"
,2517,Wood Tv And Radio Cabinets,2,12,"$344,066"
,2519,"Household Furniture, Nec",10,64,"$489,932"
,2521,Wood Office Furniture,52,361,"$4,071,391"
,2522,"Office Furniture, Except Wood",32,236,"$3,161,044"
,2531,Public Building & Related Furniture,48,363,"$5,942,322"
,2541,Wood Partitions And Fixtures,41,297,"$2,499,964"
,2542,"Partitions And Fixtures, Except Wood",39,306,"$2,585,139"
,2591,Drapery Hardware & Blinds & Shades,11,91,"$1,258,195"
,2599,"Furniture And Fixtures, Nec",21,158,"$994,849"
,2611,Pulp Mills,9,54,"$4,741,733"
,2621,Paper Mills,98,735,"$44,130,299"
,2631,Paperboard Mills,45,375,"$12,700,671"
,2652,Setup Paperboard Boxes,16,113,"$1,147,846"
,2653,Corrugated And Solid Fiber Boxes,306,"2,503","$37,522,121"
,2655,"Fiber Cans, Drums & Similar Products",26,169,"$2,285,617"
,2656,Sanitary Food Containers,12,123,"$1,651,742"
,2657,Folding Paperboard Boxes,76,589,"$14,793,112"
,2671,"Paper Coated & Laminated, Packaging",77,605,"$10,111,734"
,2672,"Paper Coated And Laminated, Nec",51,401,"$6,399,179"
,2673,"Bags: Plastics, Laminated, & Coated",61,476,"$13,664,285"
,2674,Bags: Uncoated Paper & Multiwall,35,255,"$3,027,977"
,2675,Die-cut Paper And Board,17,123,"$941,781"
,2676,Sanitary Paper Products,19,166,"$3,185,771"
,2677,Envelopes,60,456,"$3,855,073"
,2678,Stationery Products,8,51,"$290,422"
,2679,"Converted Paper Products, Nec",65,502,"$5,415,624"
,2711,Newspapers,143,"1,073","$8,904,296"
,2721,Periodicals,7,54,"$428,173"
,2731,Book Publishing,17,121,"$457,230"
,2732,Book Printing,31,237,"$3,564,566"
,2741,Miscellaneous Publishing,17,133,"$4,753,917"
,2752,"Commercial Printing, Lithographic",251,"1,899","$20,876,697"
,2754,"Commercial Printing, Gravure",23,176,"$5,734,376"
,2759,"Commercial Printing, Nec",161,"1,184","$14,119,761"
,2761,Manifold Business Forms,42,344,"$2,661,541"
,2771,Greeting Cards,7,51,"$507,182"
,2782,Blankbooks And Looseleaf Binders,18,131,"$827,171"
,2789,Bookbinding And Related Work,9,59,"$316,522"
,2791,Typesetting,1,10,"$6,963"
,2796,Platemaking Services,9,58,"$321,113"
,2812,Alkalies And Chlorine,10,68,"$1,612,414"
,2813,Industrial Gases,16,111,"$2,434,393"
,2816,Inorganic Pigments,17,110,"$1,751,860"
,2819,"Industrial Inorganic Chemicals, Nec",104,765,"$30,099,449"
,2821,Plastics Materials And Resins,142,"1,137","$23,920,253"
,2822,Synthetic Rubber,17,121,"$4,077,392"
,2823,Cellulosic Manmade Fibers,7,48,"$1,319,064"
,2824,"Organic Fibers, Noncellulosic",14,88,"$3,522,829"
,2833,Medicinals And Botanicals,26,181,"$4,886,079"
,2834,Pharmaceutical Preparations,141,"1,071","$37,880,030"
,2835,Diagnostic Substances,16,106,"$1,138,044"
,2836,Biological Products Exc. Diagnostic,24,178,"$4,548,345"
,2841,Soap And Other Detergents,28,225,"$4,475,011"
