Link,SIC Code,Description,Assessments,Recommendations,Recommended $ Savings
,3433,"Heating Equipment, Except Electric",48,382,"$4,475,942"
,3441,Fabricated Structural Metal,153,"1,075","$11,276,731"
,3442,"Metal Doors, Sash, And Trim",111,842,"$11,595,973"
,3443,Fabricated Plate Work (boiler Shops),179,"1,211","$10,352,474"
,3444,Sheet Metalwork,195,"1,432","$12,337,808"
,3446,Architectural Metal Work,21,147,"$972,270"
,3448,Prefabricated Metal Buildings,49,370,"$5,490,123"
,3449,Miscellaneous Metal Work,31,193,"$1,265,998"
,3451,Screw Machine Products,49,368,"$5,849,204"
,3452,"Bolts, Nuts, Rivets, And Washers",80,645,"$4,908,864"
,3462,Iron And Steel Forgings,89,718,"$17,305,165"
,3463,Nonferrous Forgings,18,164,"$7,576,735"
,3465,Automotive Stampings,84,619,"$7,571,570"
,3466,Crowns And Closures,13,106,"$2,276,013"
,3469,"Metal Stampings, Nec",117,953,"$13,470,951"
,3471,Plating And Polishing,200,"1,505","$14,126,117"
,3479,Metal Coating And Allied Services,132,981,"$11,417,375"
,3482,Small Arms Ammunition,8,64,"$536,246"
,3483,"Ammunition, Exc. For Small Arms, Nec",16,146,"$3,830,698"
,3484,Small Arms,12,64,"$669,057"
,3489,"Ordnance And Accessories, Nec",11,79,"$727,523"
,3491,Industrial Valves,56,435,"$5,353,272"
,3492,Fluid Power Valves & Hose Fittings,44,371,"$4,790,266"
,3493,"Steel Springs, Except Wire",19,144,"$862,765"
,3494,"Valves And Pipe Fittings, Nec",73,541,"$7,109,872"
,3495,Wire Springs,21,160,"$2,176,092"
,3496,Misc. Fabricated Wire Products,83,655,"$8,443,670"
,3497,Metal Foil And Leaf,6,39,"$518,112"
,3498,Fabricated Pipe And Fittings,68,519,"$5,529,956"
,3499,"Fabricated Metal Products, Nec",257,"2,056","$25,291,602"
,3511,Turbines And Turbine Generator Sets,25,212,"$2,495,964"
,3519,"Internal Combustion Engines, Nec",33,246,"$4,396,549"
,3523,Farm Machinery And Equipment,84,625,"$4,911,977"
,3524,Lawn And Garden Equipment,27,210,"$2,387,755"
,3531,Construction Machinery,109,823,"$11,711,189"
,3532,Mining Machinery,37,295,"$2,980,201"
,3533,Oil And Gas Field Machinery,95,714,"$8,452,318"
,3534,Elevators And Moving Stairways,18,150,"$1,756,100"
,3535,Conveyors And Conveying Equipment,48,349,"$1,929,536"
,3536,"Hoists, Cranes, And Monorails",12,98,"$914,286"
,3537,Industrial Trucks And Tractors,36,288,"$3,661,403"
,3541,"Machine Tools, Metal Cutting Types",40,257,"$2,033,842"
,3542,"Machine Tools, Metal Forming Types",32,228,"$2,047,460"
,3543,Industrial Patterns,-,-,-
,3544,"Special Dies, Tools, Jigs & Fixtures",86,606,"$4,957,562"
,3545,Machine Tool Accessories,59,401,"$4,516,303"
,3546,Power-driven Handtools,15,106,"$869,866"
,3547,Rolling Mill Machinery,7,46,"$747,374"
,3548,Welding Apparatus,16,99,"$1,052,595"
,3549,"Metalworking Machinery, Nec",18,156,"$1,835,568"
,3552,Textile Machinery,15,127,"$616,495"
,3553,Woodworking Machinery,15,103,"$655,525"
,3554,Paper Industries Machinery,12,77,"$470,214"
,3555,Printing Trades Machinery,16,117,"$674,952"
,3556,Food Products Machinery,50,369,"$2,426,482"
,3559,"Special Industry Machinery, Nec",95,689,"$5,480,546"
