ID,CENTER,FY,SIC,NAICS,STATE,SALES,EMPLOYEES,PLANT_AREA,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,EC_plant_cost,EC_plant_usage,ED_plant_cost,ED_plant_usage,EF_plant_cost,E2_plant_cost,E2_plant_usage,E3_plant_cost,E3_plant_usage,E4_plant_cost,E4_plant_usage,E5_plant_cost,E5_plant_usage,E6_plant_cost,E6_plant_usage,E7_plant_cost,E7_plant_usage,E8_plant_cost,E8_plant_usage,E9_plant_cost,E9_plant_usage,E10_plant_cost,E10_plant_usage,E11_plant_cost,E11_plant_usage,E12_plant_cost,E12_plant_usage,W0_plant_cost,W0_plant_usage,W1_plant_cost,W1_plant_usage,W2_plant_cost,W2_plant_usage,W3_plant_cost,W3_plant_usage,W4_plant_cost,W4_plant_usage,W5_plant_cost,W5_plant_usage,W6_plant_cost,W6_plant_usage
AM0023,AM,1988.0,2449.0,,TX,1400000.0,50.0,,VENEERED FRUIT,1.0,2000000.0,2304.0,3.0,14059.0,162075.0,,,,22119.0,4131.0,,,,,,,,,,,,,17200.0,17200.0,,,,,,,,,,,,,,,,,,,,
AM0024,AM,1988.0,3585.0,,TX,1575000.0,42.0,,COPPER MANIFOLDS,1.0,775000.0,2600.0,3.0,15852.0,189625.0,,,,6052.0,1039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0025,AM,1988.0,2013.0,,TX,12000000.0,89.0,,BEEF PATTIES,2.0,12000000.0,2600.0,6.0,74177.0,1674678.0,,,,4000.0,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0026,AM,1988.0,3714.0,,TX,14000000.0,230.0,,AUTO AIR CONDITIONER COMPRESSORS,1.0,236000.0,2267.0,6.0,170004.0,2866940.0,,,,23424.0,6653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0027,AM,1988.0,2653.0,,TX,30000000.0,120.0,,CORREGATED SHIPPING CONTAINERS,6.0,650000.0,6588.0,7.0,155665.0,3073271.0,,,,182013.0,44826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0028,AM,1988.0,2653.0,,TX,20000000.0,120.0,,CORREGATED PAPER CONTAINERS,3.0,34200.0,6000.0,10.0,186318.0,3546014.0,,,,126687.0,31798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0029,AM,1988.0,2448.0,,TX,3700000.0,90.0,,WOODEN PALLETS,1.0,875000.0,2000.0,7.0,120139.0,1443728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0030,AM,1988.0,3585.0,,TX,5500000.0,100.0,,AIR CONDITIONING EQUIPMENT,2.0,500000.0,2080.0,8.0,41798.0,543083.0,,,,9606.0,1655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0031,AM,1988.0,2819.0,,TX,14000000.0,50.0,,CATALYST CARRIERS,2.0,2000000.0,6240.0,9.0,125987.0,1985932.0,,,,119554.0,35548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0032,AM,1988.0,2879.0,,TX,13500000.0,31.0,,"INSECTICIDES, HERBICIDES",5.0,1540.0,8736.0,9.0,119053.0,1936401.0,,,,20200.0,5575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0033,AM,1988.0,2048.0,,TX,42000000.0,250.0,,CATTLE & HORSES PROCESS,1.0,108000.0,2340.0,13.0,465245.0,10709848.0,,,,162553.0,56300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0034,AM,1988.0,2051.0,,TX,2000000.0,80.0,,FRUIT CAKES,2.0,360000.0,2620.0,5.0,12857.0,220106.0,,,,4632.0,916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0035,AM,1988.0,3535.0,,TX,15000000.0,135.0,,AERIAL HYDRAULIC LIFTS,1.0,1820.0,2160.0,6.0,57435.0,1099941.0,,,,8618.0,1920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0036,AM,1988.0,3452.0,,TX,30000000.0,200.0,,STEEL & ALUMINUM FASTENERS,2.0,26000000.0,4160.0,5.0,482750.0,11427022.0,,,,332272.0,99740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0037,AM,1988.0,3545.0,,TX,4000000.0,52.0,,CARBIDE INSERTS,2.0,1500000.0,6000.0,8.0,84769.0,1364889.0,,,,379.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0038,AM,1988.0,2891.0,,TX,12000000.0,55.0,,CHEMICAL FORMULATIONS,1.0,202400.0,2777.0,7.0,30961.0,412954.0,,,,5101.0,1310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0039,AM,1988.0,3315.0,,TX,15000000.0,70.0,,WELDED WIRE FABRIC,3.0,30000.0,6240.0,5.0,106364.0,1725967.0,,,,2791.0,678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0040,AM,1988.0,2657.0,,TX,5000000.0,60.0,,FOLDING BOXES,2.0,720000.0,,5.0,39514.0,721864.0,,,,1300.0,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0041,AM,1988.0,2431.0,,TX,20000000.0,75.0,,PRE-HUNG DOOR UNITS,1.0,46800.0,2032.0,6.0,91650.0,1143025.0,,,,,,6313.0,1053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0042,AM,1988.0,3448.0,,TX,25000000.0,148.0,,PREFABRICATED STEEL,3.0,15300.0,5200.0,9.0,74160.0,1258499.0,,,,13624.0,3352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0043,AM,1988.0,2451.0,,TX,12000000.0,104.0,,MANUFACTURED HOUSING,1.0,750.0,2000.0,8.0,36465.0,519637.0,,,,1544.0,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0044,AM,1988.0,3325.0,,TX,12000000.0,220.0,,STEEL CASTINGS,3.0,726.0,4096.0,13.0,893000.0,17505862.0,,,,441315.0,159342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0045,AM,1988.0,3593.0,,TX,6000000.0,50.0,,"CYLINDERS, PUMPS, MOTORS",1.0,5000.0,2660.0,7.0,25630.0,352579.0,,,,11693.0,2417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0046,AM,1989.0,2099.0,,TX,5000000.0,50.0,,PREPARED SALADS,2.0,6000000.0,2020.0,10.0,40534.0,726553.0,,,,11491.0,2949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0047,AM,1989.0,3443.0,,TX,50800000.0,300.0,,STORAGE TANKS & VESSELS,3.0,28000.0,2142.0,3.0,227621.0,4383353.0,,,,30488.0,6541.0,10000.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0048,AM,1989.0,3624.0,,TX,12000000.0,119.0,,OIL FIELD RELATED PRODS.,1.0,17400.0,4160.0,7.0,240506.0,3805100.0,,,,330260.0,104091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0049,AM,1989.0,3441.0,,TX,25000000.0,115.0,,FABRICATED STEEL PRODUCTS,3.0,14500.0,2295.0,9.0,121479.0,1844959.0,,,,28018.0,5939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0050,AM,1989.0,3792.0,,TX,16000000.0,125.0,,TRAVEL TRAILERS,1.0,1300.0,2080.0,6.0,40321.0,668230.0,,,,3507.0,757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0051,AM,1989.0,3448.0,,TX,15000000.0,140.0,,MODULAR BUILDINGS,1.0,35.0,2150.0,8.0,74513.0,1157093.0,,,,2226.0,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0052,AM,1989.0,2096.0,,TX,47000000.0,233.0,,POTATO & CORN CHIPS,2.0,31000000.0,6072.0,9.0,293578.0,6441677.0,,,,451743.0,125178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0053,AM,1989.0,3398.0,,TX,2000000.0,22.0,,HEAT TREATED METAL PARTS,,,2008.0,6.0,24806.0,343787.0,,,,9169.0,2134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0054,AM,1989.0,2421.0,,TX,13000000.0,60.0,,ROUGH & MILLED WOOD,6.0,8000.0,2000.0,8.0,97693.0,1322978.0,,,,24437.0,5684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0055,AM,1989.0,2813.0,,TX,5000000.0,20.0,,LIQUID CARBON DIOXIDE,3.0,82490.0,8736.0,5.0,534247.0,11597890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0056,AM,1989.0,2048.0,,TX,6000000.0,40.0,,LIVESTOCK & POULTRY FEED,3.0,140000.0,6072.0,8.0,73582.0,1657972.0,,,,26141.0,6616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
